epi,ttl,dir,wri,air,code,vie,season,month
14,The One Where They All Turn Thirty,Ben Weiss,Vanessa McCarthy & Ellen Plummer & Sherry Bilsing,2001-02-08,226411,22.40,7,02
15,The One with Joey's New Brain,Kevin S. Bright,Sherry Bilsing & Ellen Plummer & Andrew Reich & Ted Cohen,2001-02-15,226416,21.75,7,02
16,The One with the Truth About London,David Schwimmer,Brian Buckner & Sebastian Jones & Zachary Rosenblatt,2001-02-22,226417,21.22,7,02
17,The One with the Cheap Wedding Dress,Kevin S. Bright,Brian Buckner & Sebastian Jones & Andrew Reich & Ted Cohen,2001-03-15,226414,20.84,7,03
18,The One with Joey's Award,Gary Halvorson,Sherry Bilsing & Ellen Plummer & Brian Boyle,2001-03-29,226418,17.81,7,03
19,The One with Ross and Monica's Cousin,Gary Halvorson,Andrew Reich & Ted Cohen,2001-04-19,226421,16.55,7,04
20,The One with Rachel's Big Kiss,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,2001-04-26,226419,16.30,7,04
21,The One with the Vows,Gary Halvorson,Doty Abrams,2001-05-03,226424,15.65,7,05
22,The One with Chandler's Dad,Kevin S. Bright & Gary Halvorson,Gregory S. Malins & Brian Buckner & Sebastian Jones,2001-05-10,226420,17.23,7,05
2324,The One with Monica and Chandler's Wedding,Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,2001-05-17,226422226423,30.05,7,05
1,The One After 'I Do',Kevin S. Bright,David Crane & Marta Kauffman,2001-09-27,227401,31.70,8,09
2,The One with the Red Sweater,David Schwimmer,Dana Klein Borkow,2001-10-04,227402,30.04,8,10
3,The One Where Rachel Tells...,Sheldon Epps,Sherry Bilsing & Ellen Plummer,2001-10-11,227403,29.20,8,10
4,The One with the Videotape,Kevin S. Bright,Scott Silveri,2001-10-18,227406,25.58,8,10
5,The One with Rachel's Date,Gary Halvorson,Brian Buckner & Sebastian Jones,2001-10-25,227404,25.64,8,10
6,The One with the Halloween Party,Gary Halvorson,Mark Kunerth,2001-11-01,227405,26.96,8,11
7,The One with the Stain,Kevin S. Bright,R. Lee Fleming Jr.,2001-11-08,227407,24.24,8,11
8,The One with the Stripper,David Schwimmer,Andrew Reich & Ted Cohen,2001-11-15,227408,26.54,8,11
9,The One with the Rumor,Gary Halvorson,Shana Goldberg-Meehan,2001-11-22,227410,24.24,8,11
10,The One with Monica's Boots,Kevin S. Bright,Robert Carlock & Brian Buckner & Sebastian Jones,2001-12-06,227409,22.44,8,12
11,The One with Ross's Step ForwardThe One with The Creepy Holiday Card,Gary Halvorson,Robert Carlock,2001-12-13,227411,23.85,8,12
12,The One Where Joey Dates Rachel,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,2002-01-10,227412,25.53,8,01
13,The One Where Chandler Takes a Bath,Ben Weiss,Vanessa McCarthy,2002-01-17,227413,29.24,8,01
14,The One with the Secret Closet,Kevin S. Bright,Brian Buckner & Sebastian Jones,2002-01-31,227414,28.64,8,01
15,The One with the Birthing Video,Kevin S. Bright,Dana Klein Borkow,2002-02-07,227415,28.64,8,02
16,The One Where Joey Tells Rachel,Ben Weiss,Andrew Reich & Ted Cohen,2002-02-28,227416,27.52,8,02
17,The One with the Tea Leaves,Gary Halvorson,R. Lee Fleming Jr. & Steven Rosenhaus,2002-03-07,227417,26.30,8,03
18,The One in MassapequaThe One with the Zesty Guy,Gary Halvorson,Peter Tibbals & Mark Kunerth,2002-03-28,227418,22.05,8,03
19,The One with Joey's Interview,Gary Halvorson,Doty Abrams,2002-04-04,227424,22.59,8,04
20,The One with the Baby Shower,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,2002-04-25,227421,22.24,8,04
21,The One with the Cooking Class,Gary Halvorson,Dana Klein Borkow & Brian Buckner & Sebastian Jones,2002-05-02,227419,23.97,8,05
22,The One Where Rachel Is Late,Gary Halvorson,Shana Goldberg-Meehan,2002-05-09,227420,24.32,8,05
2324,The One Where Rachel Has a Baby,Kevin S. Bright,Scott SilveriMarta Kauffman & David Crane,2002-05-16,227422227423,34.91,8,05
1,The One Where No One Proposes,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,2002-09-26,175251,34.01,9,09
2,The One Where Emma Cries,Sheldon Epps,Dana Klein Borkow,2002-10-03,175252,28.93,9,10
3,The One with the Pediatrician,Roger Christiansen,Brian Buckner & Sebastian Jones,2002-10-10,175254,26.63,9,10
4,The One with the Sharks,Ben Weiss,Andrew Reich & Ted Cohen,2002-10-17,175253,25.82,9,10
5,The One with Phoebe's Birthday Dinner,David Schwimmer,Scott Silveri,2002-10-31,175255,24.46,9,10
6,The One with the Male Nanny,Kevin S. Bright,David Crane & Marta Kauffman,2002-11-07,175256,27.51,9,11
7,The One with Ross's Inappropriate Song,Gary Halvorson,Robert Carlock,2002-11-14,175257,25.35,9,11
8,The One with Rachel's Other Sister,Kevin S. Bright,Shana Goldberg-Meehan,2002-11-21,175258,26.76,9,11
9,The One with Rachel's Phone Number,Ben Weiss,Mark Kunerth,2002-12-05,175259,25.43,9,12
10,The One with Christmas in Tulsa,Kevin S. Bright,Doty Abrams,2002-12-12,175260,22.29,9,12
11,The One Where Rachel Goes Back to Work,Gary Halvorson,Judd Rubin & Peter Tibbals,2003-01-09,175261,23.67,9,01
12,The One with Phoebe's Rats,Ben Weiss,Dana Klein Borkow & Brian Buckner & Sebastian Jones,2003-01-16,175262,23.66,9,01
13,The One Where Monica Sings,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer & Steven Rosenhaus,2003-01-30,175263,25.82,9,01
14,The One with the Blind Dates,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2003-02-06,175265,23.37,9,02
15,The One with the Mugging,Gary Halvorson,Peter Tibbals,2003-02-13,175264,20.85,9,02
16,The One with the Boob Job,Gary Halvorson,Mark Kunerth,2003-02-20,175266,19.52,9,02
17,The One with the Memorial Service,Gary Halvorson,Robert Carlock & Brian Buckner & Sebastian Jones,2003-03-13,175267,21.00,9,03
18,The One with the Lottery,Gary Halvorson,Brian Buckner & Sebastian Jones & Sherry Bilsing-Graham & Ellen Plummer,2003-04-03,175268,20.79,9,04
19,The One with Rachel's Dream,Terry Hughes,Dana Klein Borkow & Mark Kunerth,2003-04-17,175269,18.25,9,04
20,The One with the Soap Opera Party,Sheldon Epps,Shana Goldberg-Meehan & Andrew Reich & Ted Cohen,2003-04-24,175270,20.71,9,04
21,The One with the Fertility Test,Gary Halvorson,Scott Silveri & Robert Carlock,2003-05-01,175271,19.03,9,05
22,The One with the Donor,Ben Weiss,Andrew Reich & Ted Cohen,2003-05-08,175272,19.55,9,05
2324,The One in Barbados,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriMarta Kauffman & David Crane,2003-05-15,175273175274,25.46,9,05
1,The One After Joey and Rachel Kiss,Kevin S. Bright,Andrew Reich & Ted Cohen,2003-09-25,176251,24.54,10,09
2,The One Where Ross Is Fine,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,2003-10-02,176252,22.38,10,10
3,The One with Ross's Tan,Gary Halvorson,Brian Buckner,2003-10-09,176253,21.87,10,10
4,The One with the Cake,Gary Halvorson,Robert Carlock,2003-10-23,176254,18.77,10,10
5,The One Where Rachel's Sister Babysits,Roger Christiansen,Dana Klein Borkow,2003-10-30,176255,19.37,10,10
6,The One with Ross's Grant,Ben Weiss,Sebastian Jones,2003-11-06,176256,20.38,10,11
7,The One with the Home Study,Kevin S. Bright,Mark Kunerth,2003-11-13,176257,20.21,10,11
8,The One with the Late Thanksgiving,Gary Halvorson,Shana Goldberg-Meehan,2003-11-20,176259,20.66,10,11
9,The One with the Birth Mother,David Schwimmer,Scott Silveri,2004-01-08,176258,25.49,10,01
10,The One Where Chandler Gets Caught,Gary Halvorson,Doty Abrams,2004-01-15,176268,26.68,10,01
11,The One Where the Stripper Cries,Kevin S. Bright,David Crane & Marta Kauffman,2004-02-05,176260,24.91,10,02
12,The One with Phoebe's Wedding,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,2004-02-12,176262,25.90,10,02
13,The One Where Joey Speaks French,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2004-02-19,176261,24.27,10,02
14,The One with Princess Consuela,Gary Halvorson,Robert Carlock & Tracy Reilly,2004-02-26,176263,22.83,10,02
15,The One Where Estelle Dies,Gary Halvorson,Mark Kunerth & David Crane & Marta Kauffman,2004-04-22,176264,22.64,10,04
16,The One with Rachel's Going Away Party,Gary Halvorson,Andrew Reich & Ted Cohen,2004-04-29,176265,24.51,10,04
1718,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,2004-05-06,176266176267,52.46,10,05
