season,episode,title,rating,gunther,janice,richard,heckles,frank,estelle,ursula,summary,central,monica_loc,joey_loc,ross_loc,monica,joey,chandler,ross,rachel,phoebe
2,10, The One with Russ ,8.0,0,0,0,0,0,1,0,"Monica gets back together with Fun Bobby, who the other friends realize has a drinking problem. Monica persuades him to quit drinking, only to discover he is no longer fun. Joey lands the role of Dr. Drake Ramoray, a neurosurgeon on Days of Our Lives after refusing to sleep with the casting lady, who admired his integrity. Rachel dates Russ, who bears an uncanny resemblance to Ross  meet and fall in love at first sight.",0.4545454545454545,0.0,0.09090909090909093,0.0,0.16216216216216214,0.11486486486486487,0.12162162162162166,0.13175675675675674,0.12837837837837834,0.12837837837837834
5,18, The One Where Rachel Smokes ,8.0,1,0,0,0,0,0,0,"Rachel attempts smoking to feel more included at work with her boss and co-worker. Joey auditions for a soup commercial with Ben playing his son. When the director pairs Ben with another father, Joey is left in the uncomfortable position of competing with his friend's son. Monica and Phoebe plan Rachel's birthday party, but when  Monica takes over, leaving Phoebe in charge of only cups and ice, Phoebe goes all out.",0.125,0.25,0.125,0.0,0.09285714285714286,0.21428571428571427,0.10357142857142858,0.15357142857142858,0.14285714285714285,0.08928571428571429
2,4, The One with Phoebe's Husband ,8.0,1,0,0,0,0,0,0,"The gang is amazed that Phoebe has been secretly married to a gay Canadian ice dancer named Duncan, She married him so he could obtain a green card. Phoebe is excited when he wants to see her, then is crushed that he wants a divorce. Duncan says he realized he is not gay and wants to marry someone else. Interesting facts are revealed about the others: Joey starred in a porn film and Chandler has a third nipple. Ross seeks relationship advice from Rachel after revealing that he and Julie have not slept together yet. Rachel, wanting to keep them apart, advises they abstain, while Joey gives Ross the opposite advice.",0.15384615384615385,0.15384615384615385,0.0,0.3076923076923077,0.07476635514018691,0.060747663551401876,0.0794392523364486,0.2102803738317757,0.21962616822429906,0.1542056074766355
1,21, The One with the Fake Monica ,7.9,1,0,0,0,0,0,0,"When Monica's credit card is stolen, she, along with Phoebe and Rachel, decide to catch the thief. Monica instead befriends the lively woman. Joey enlists his friends' help to come up with less Italian-sounding stage name. Marcel has reached sexual maturity, Ross decides he needs to be with other monkeys and tries to get him into the ""Harvard of zoos"" with the San Diego Zoo accepting Marcel. Joey, Chandler, Phoebe, Rachel, and Ross bid Marcel an emotional goodbye.",0.26666666666666666,0.4,0.0,0.0,0.32701421800947866,0.10426540284360188,0.0947867298578199,0.13744075829383887,0.14691943127962084,0.06635071090047394
1,20, The One with the Evil Orthodontist ,7.9,1,0,0,0,0,0,0,"Rachel and Barry secretly see each other, even though he is now engaged to Mindy, who asks Rachel to be her maid of honor. When Rachel finally confesses to Mindy that she has been sleeping with Barry, Mindy says she and Barry had an affair while Rachel was engaged to Barry; the two women confront him, though Mindy still wants to marry Barry. Meanwhile, Chandler goes nuts when a woman he likes does not return his phone calls, later realizing there was a mix-up. The friends become annoyed after discovering someone across the street is spying on them.",0.25,0.5,0.0,0.0,0.12704918032786885,0.0942622950819672,0.1721311475409836,0.0860655737704918,0.2336065573770492,0.07377049180327869
8,7, The One with the Stain ,7.9,1,0,0,0,0,0,0,"Chandler hires a maid to help Monica, but she soon suspects the maid is stealing her clothes. After getting Chandler to inspect a pair of jeans she is wearing that she thinks are hers, Rachel returns Monica's borrowed clothes. The maid quits, believing Chandler is a pervert. Eric wants to date Phoebe, but he is too reminded of Ursula. Ross attempts to secure the apartment of a dying Dutch woman for Rachel, while Joey wants Rachel to continue living with him.",0.125,0.3125,0.1875,0.0,0.16091954022988506,0.11877394636015325,0.11494252873563217,0.13026819923371644,0.15708812260536398,0.1264367816091954
4,9, The One Where They're Going to Party! ,7.9,1,0,0,0,0,0,0,"Monica and Phoebe buy a van for their new catering business, but plans are upended when Monica is offered the head chef job at 'Alessandro's"", a restaurant she recently trashed in a review for a neighborhood paper. Rachel applies for an assistant buyer job in another Bloomingdale's department, only to be sabotaged during the interview by her boss, Joanna, who wants to keep Rachel as her assistant. Rachel confronts Joanna, who then offers to make her an assistant buyer in her department. Unfortunately, Joanna meets an untimely end before Rachel's promotion takes effect. Ross and Chandler are excited when their friend Mike 'Gandalf' Ganderson is coming to town to party. When Gandalf cancels, Joey says they can still have a great time.",0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.1685823754789272,0.10727969348659004,0.09195402298850576,0.13409961685823754,0.16475095785440613,0.13793103448275862
3,14, The One with Phoebe's Ex-Partner ,7.9,1,0,0,0,0,0,0,"Phoebe is reunited with her former singing partner Leslie, only to learn she once dated Joey, who accidentally threw her artificial limb into a fireplace. Ross, fed up with Rachel's long work hours, is ecstatic when Mark leaves Bloomingdale's for another job, only to discover he and Rachel are attending a fashion seminar together. To prevent Rachel going with Mark, Ross accompanies her instead, but he quickly falls asleep, causing a fresh argument leaving their relationship on rocky ground.",0.3157894736842105,0.2631578947368421,0.10526315789473684,0.0,0.12735849056603776,0.10849056603773584,0.14150943396226415,0.1320754716981132,0.11320754716981132,0.15566037735849056
9,22, The One with the Donor ,7.8,1,0,0,0,0,0,0,"After learning they are reproductively incompatible, Chandler and Monica search for a sperm donor. After interviewing a suitable potential candidate, they decide to adopt instead. Phoebe realizes Rachel's feelings for Joey when she and Rachel take Charlie shopping, and Rachel fears Charlie heard that she likes Joey. While getting ready to go to Mike's sister's party, Phoebe meets David, the scientist guy, again. Ross has an interview for a conference in Barbados. Hank Azaria and John Stamos guest star.",0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.10927152317880796,0.08609271523178808,0.17549668874172186,0.0728476821192053,0.17549668874172186,0.15231788079470202
8,19, The One with Joey's Interview ,7.5,1,0,0,0,0,0,0,"Joey prepares for an interview with Soap Opera Digest, although he's afraid of saying something stupid that may jeopardize his career.  Joey enlists his friends to make sure things go well. This is the fourth of Friends' six clip shows.",0.2307692307692308,0.15384615384615385,0.4615384615384616,0.07692307692307693,0.033755274261603366,0.4008438818565401,0.1181434599156118,0.1139240506329114,0.1139240506329114,0.06329113924050632
7,21, The One with the Vows ,7.5,0,0,0,0,0,0,0,Chandler and Monica struggle to write their wedding vows. The group remembers Monica and Chandler journey over the past few years via flashbacks.Note: This is the lowest rated episode in the series with only 15.65 million viewers.,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.21875,0.15234375,0.25,0.09375,0.13671875,0.14453125
9,10, The One with Christmas in Tulsa ,7.5,0,0,0,0,0,0,0,"Chandler, stuck in Tulsa on Christmas Eve, is alarmed when a female co-worker Wendy, makes a pass at him. Having had enough, he quits his job and makes it home to Monica and his friends in time for Christmas. This story serves as a framing device for the fifth of Friends' six clip shows.",0.0625,0.3125,0.0625,0.0,0.24285714285714285,0.042857142857142864,0.4178571428571429,0.075,0.060714285714285714,0.075
6,20, The One with Mac and C.H.E.E.S.E. ,7.4,1,1,0,0,0,0,0,"Joey is up for a role on a low-budget cable TV series, playing the science fiction hero, ""Mac"" Machiavelli, the crime-fighting partner of a cool robot, C.H.E.E.S.E., which stands for Computerised Humanoid Electronically Enhanced Secret Enforcer. Monica bursts into the apartment, interrupting Chandler as he is writing Joey a note that his second audition has been changed, causing Joey to miss it. The friends reminisce about other instances when they have messed up. Joey gets another audition chance, which Chandler writes down correctly. One of six clip show episodes over the course of 10 seasons.",0.07692307692307693,0.07692307692307693,0.6923076923076923,0.0,0.09663865546218488,0.27310924369747897,0.25210084033613445,0.13445378151260504,0.08403361344537816,0.10084033613445377
4,21, The One with the Invitation ,7.2,1,0,0,0,0,0,0,"A clip show where pregnant Phoebe is frustrated at being unable to attend Ross' London wedding. Ross surprises Emily by inviting Rachel, causing him to reminisce about their time together. Rachel believes it will be too heart-breaking to attend and decides not to go.This episode includes much footage Ross and Rachel's relationship throughout the show.",0.20689655172413796,0.4482758620689655,0.03448275862068965,0.03448275862068965,0.068,0.10800000000000001,0.11599999999999999,0.28,0.284,0.044000000000000004
