name,main
tall guy,False
patron,False
customers,False
a male customer,False
the fan,False
"buffay, the vampire layer",False
the vampire,False
man’s voice,False
another man’s voice,False
same man’s voice,False
monica's boyfriend,False
guy all the way in the back,False
dr. wesley,False
dr. drake remoray,False
hope,False
dr. roger,False
arthur,False
jack,False
joey's look-a-like,False
the instructor,False
janice’s voice,False
burt,False
fireman #1,False
dana,False
fireman #2,False
mel,False
professor feesen,False
sebastian,False
eldad,False
patrick,False
the producer,False
wayne,False
c.h.e.e.s.e.,False
the dry cleaner,False
the museum official,False
female clerk,False
male jeweler,False
female jeweler,False
mr thompson,False
zoe,False
first dorm guy,False
second dorm guy,False
matire'd,False
lisa,False
emil alexander,False
mr bowmont,False
narrator,False
mac,False
c.h.e.e.s.e,False
hilda,False
tag,False
nurse #1,False
nurse #2,False
dr. stryker remoray,False
melissa,False
the photographer,False
hums while he pees,False
whitney,False
joey’s date,False
erin,False
female student,False
male student,False
the waitress,False
the colonel,False
the librarian,False
the head librarian,False
the knocker,False
the woman,False
maitre d',False
male guest,False
salesman,False
the wedding guest,False
the second guest,False
aunt millie,False
smoke detector,False
a disembodied voice,False
the fireman,False
supervisor,False
earl,False
"the ""hey guy"" guy",False
marge,False
the man in the sportscar,False
dina,False
jessica lockhart,False
cecilia,False
the writer,False
fredrick,False
kristen,False
megan,False
a woman,False
lewis,False
morse,False
the cute guy,False
jake,False
the presenter,False
jessica ashley,False
cassie,False
the other woman,False
waiter in drag,False
helena,False
policeman,False
the chorus line,False
the assistant director,False
mr bing,False
the rabbi,False
photographer,False
bandleader,False
mona,False
dennis phillips,False
little girl,False
second girl,False
ashley,False
fat girl,False
gert,False
front desk clerk,False
woman at the wedding,False
man at the wedding,False
anxious wedding guest,False
airline employee,False
dr. long,False
mr franklin,False
dr. drake ramoray,False
kash,False
witch,False
clown,False
cowgirl,False
ballerina,False
boy in the cape,False
[time lapse,False
mrs verhoeven's daughter,False
brenda,False
stripper,False
hooker,False
stu,False
will,False
trudie styler,False
dr. schiff,False
locksmith,False
joey's date,False
man on tv,False
woman on tv,False
don,False
waiter no. 2,False
jim,False
mona's date,False
parker,False
aunt lisa,False
uncle dan,False
the interviewer,False
ray,False
cashier,False
the food critic,False
the cooking teacher,False
the acting teacher,False
marc,False
evil bitch,False
sick bastard,False
woman giving birth,False
cliff,False
sid,False
ms. mckenna,False
mary ellen,False
dr. gettleman,False
sally,False
boy,False
hayley,False
hayley ,False
hayley's roommate,False
ken,False
claudia,False
maitre d,False
ms. geller,False
waiters,False
mike ,False
prospective nanny ,False
sandy ,False
david ,False
"person...    when i left, i said",False
sandy/grumpus ,False
catherine ,False
bitsy ,False
theodore ,False
woman at door,False
ross and rachel while looking at each other surprised and shocked,False
woman at door in a sing song voice,False
amy,False
amy with straight hair,False
amy storms out,False
everyone there says,False
amy with confused look on face,False
amy coming out of the bathroom,False
amy and rachel at same time,False
jo lynn,False
bill,False
kevin,False
wendy,False
others,False
gavin,False
extra,False
another extra,False
molly,False
heather,False
salon girl ,False
salon girl,False
sonia ,False
blonde girl ,False
gavin ,False
molly ,False
michelle ,False
her friend ,False
steve ,False
waiter #2,False
intern ,False
receptionist ,False
lennart ,False
producer #1 ,False
mugger ,False
lowell ,False
boss ,False
handyman,False
strange man,False
manny,False
kori,False
racel,False
message,False
second message,False
tv,False
actress/olivia,False
chase lassiter,False
1st customer,False
2nd customer,False
3rd customer,False
chandlers,False
charlie,False
professor spafford,False
jane,False
kyle lowder,False
bitter lady,False
matthew ashford,False
rache,False
dirk,False
bitter woman,False
doctor connelly,False
professor sherman,False
shop assistant,False
zack,False
prof. sherman,False
jeanette,False
ross and charlie,False
man with a bow tie,False
phoebe & mike,False
alexandra steele,False
mr oberblau,False
paleontologist,False
professore clerk,False
charlie ,False
both ,False
precious ,False
frank jr. ,False
colleen ,False
bill ,False
owen ,False
assistant,False
glenda,False
jack and judy,False
judy,False
emma,False
benjamin,False
benjamin ,False
dr. li,False
dr. biely ,False
dr. biely,False
charity guy,False
laura,False
host ,False
"they lock it, but when they're having sex on the couch, its like",False
agency guy,False
the guys ,False
missy ,False
voice ,False
donny osmond ,False
donny ,False
gene ,False
stage manager ,False
man ,False
"roy, the male stripper ",False
roy ,False
henrietta ,False
adrienne ,False
pizza guy ,False
mike's mother ,False
mike's father ,False
mike's mom ,False
mike's dad ,False
erica ,False
dr. green ,False
tape ,False
director ,False
casting assistant ,False
maitre d' ,False
mr zellner ,False
mr campbell ,False
clerk ,False
[except rachel],False
gunther ,False
realtor ,False
girl ,False
mackenzie ,False
mark ,False
rita ,False
lady,False
realtor,False
r zelner,False
doctor ,False
gate attendant #1 ,False
ticket agent ,False
passenger #1 ,False
air stewardess ,False
passenger #2 ,False
passenger #3 ,False
gate attendant #2 ,False
